timestamp,action,question_key,question_id,week,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,difficulty,level,concept_key,aspect_key,source_path,user_feedback
2026-03-08T18:11:25,ineffective_question,f2f95ca9c79e6999fcff719680cbbdc33086d696,814,7,What is the key difference between a static VLAN and a dynamic VLAN?,Static VLANs use 802.1Q tagging while dynamic VLANs use ISL tagging,Static VLANs require a DHCP server while dynamic VLANs use manual IP assignment,Static VLANs are permanent while dynamic VLANs reset on every reboot,Static VLANs assign ports manually while dynamic VLANs assign membership based on MAC address or username,D,Static VLANs are the most common and predictable — an admin manually assigns each port. Dynamic VLANs assign VLAN membership automatically based on MAC address or user credentials preserving membership when devices move.,medium,medium,vlan membership methods,static manual assignment vs dynamic mac/user-based assignment,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Essential - Chapter 8 Introduction to Switch Configuration/Essential Chapter 8 - Switch Configuration,"this is a repeated question, please delete it without replacement."
2026-03-08T18:21:17,not_in_current_scope,1c06b978e56c9c2e037c01fc5e59aaa24f174468,874,7,How does IEEE 754 store non-integer floating-point values in 32-bit format?,Using two separate 16-bit integers where one holds the whole part and one holds the decimal part,Using a 32-bit integer with an implicit decimal point always fixed at bit 16,By storing values as ASCII text codes that the CPU converts on each calculation,With 1 sign bit; 8 exponent bits; and 23 significand bits structured like scientific notation,D,IEEE 754 32-bit float: 1 bit for sign; 8 bits for exponent; 23 bits for significand. This is like scientific notation (e.g. 625.9 = 0.6259 x 10^3). The floating decimal point can represent a wide range of magnitudes.,medium,hard,floating-point numbers,ieee 754 uses sign exponent and significand to store floats,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 13 - representing numbers and letters with binary/Transcript.md,please change this to hard
2026-03-08T18:21:49,ineffective_question,11ae59828eafc027eed9ae6cecef8989bd45f804,898,7,After saving a running configuration to a TFTP server how can the administrator verify the backup is complete and accurate?,By running show startup-config on the switch which automatically synchronizes with the TFTP server,By pinging the TFTP server from the switch CLI which confirms the transfer was successful,By checking for the filename in the TFTP server application and opening the saved file in a text editor to inspect the configuration,By running copy tftp running-config which will succeed only if the original transfer was error-free,C,The SolarWinds TFTP Server GUI shows received files. Opening the saved .cfg file in Notepad++ or a similar text editor lets the administrator inspect interface settings; IP addresses; NAT rules; and ACL entries confirming the backup content is correct.,medium,medium,tftp backup workflow,verify tftp backup by checking file in server and opening in text editor,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 15 - SolarWinds TFTP Server/Transcript.md,redundant question. please delete
2026-03-08T18:24:23,not_in_current_scope,b96e6c189e9754d806f968502955a50b408a7943,831,7,What problem did Unicode solve that ASCII could not?,Unicode replaced binary with hexadecimal for more efficient data storage,Unicode added encryption to text data preventing eavesdropping on shared networks,ASCII values 128-255 were used differently by different systems causing garbled text; Unicode provides a single universal standard for all languages and symbols,Unicode replaced ASCII by reducing character encoding from 7 bits to 4 bits,C,Extended ASCII (values 128-255) was defined differently by different countries and vendors. Files crossing incompatible systems displayed garbled characters called mojibake. Unicode (introduced 1992) resolves this with a single universal encoding covering all world languages; symbols; and emoji.,easy,hard,unicode,unicode resolves extended ascii incompatibility across systems,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 13 - representing numbers and letters with binary/Transcript.md,please change this to hard
2026-03-08T18:27:26,ineffective_question,ada5957683c7c9ccff65f0d931d09ad6213a397b,893,7,Why is the enable password command considered weaker than enable secret?,Enable password requires a RADIUS server for authentication while enable secret uses local authentication,Enable password only applies to console access while enable secret applies to Telnet and SSH as well,Enable password is stored in the running-config as a plaintext or weakly encoded value while enable secret stores an MD5 hash,Enable password limits access to user EXEC mode only while enable secret applies to both user and privileged EXEC,C,enable password uses a simple reversible cipher (type 7 encoding) that is easily decoded. enable secret uses MD5 hashing which is computationally difficult to reverse. Anyone with access to the running-config or startup-config can decode an enable password in seconds.,medium,medium,enable secret,enable password uses weak encoding while enable secret uses md5 hash,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Essential - Chapter 8 Introduction to Switch Configuration/Essential Chapter 8 - Switch Configuration,redundant question
2026-03-08T18:30:54,not_in_current_scope,ae639872cd168fae13f693243851b7e64f8868b7,843,7,What decimal value does uppercase A have in ASCII?,41,58,97,65,D,In the ASCII encoding standard uppercase A is assigned decimal value 65. Lowercase a is 97. These values are standardized so any system using ASCII will interpret byte value 65 as the letter A.,easy,hard,ascii examples,uppercase A equals decimal 65 in ascii,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 12 - What Is Binary/Transcript.md,please change this to hard
2026-03-08T18:34:30,not_in_current_scope,2931d37f967db7a8f1330708bbf31ac0a4bd0383,877,7,What binary value does the ASCII character lowercase 'a' have given its decimal value of 97?,01100001,11000010,00110001,01000001,A,Decimal 97 in binary: 64 + 32 + 1 = 97; place values active are 64 (2^6) and 32 (2^5) and 1 (2^0). That gives 01100001. Compare to uppercase A = 65 = 01000001; only bit 5 differs.,medium,hard,ascii examples,lowercase a is decimal 97 equal to binary 01100001,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 13 - representing numbers and letters with binary/Transcript.md,please change this to hard
2026-03-08T18:35:06,not_in_current_scope,7dd793ebd2f3ee7417674cda95f83398a26081d9,873,7,Why does a 32-bit operating system have an addressable RAM limit of approximately 4 GB?,The OS kernel uses half of RAM for system processes leaving only half for user programs,32-bit systems use hexadecimal addressing which caps out at 4 GB by definition,4 GB is a hardware enforced limit set by BIOS regardless of OS bit-width,A 32-bit address bus can reference at most 2^32 unique byte addresses which equals approximately 4 GB of memory,D,Memory addresses in a 32-bit system are 32-bit values. 2^32 = 4294967296 unique addresses. Since each address typically refers to one byte the maximum addressable RAM is ~4 GB. 64-bit systems extend this to terabytes.,medium,hard,32-bit and 64-bit systems,32-bit address space limits addressable ram to approximately 4 gb,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 13 - representing numbers and letters with binary/Transcript.md,please change this to hard
2026-03-08T18:35:19,not_in_current_scope,56a6beacf28811e05afd9ae5c4b42a77a0aaee28,878,7,What is mojibake and what causes it?,A Japanese encoding format used as a replacement for ASCII in East Asian systems,Garbled text that occurs when a file encoded in one character set is read by a system using a different incompatible character set,A Unicode error that occurs when emoji characters exceed the 3-byte UTF-8 encoding limit,A type of binary overflow that happens when an ASCII value exceeds decimal 127,B,Mojibake is the garbled or nonsensical characters produced when text is interpreted using the wrong character encoding. It commonly occurred when files created on systems using one extended-ASCII variant were opened on systems with a different variant for values 128-255.,medium,hard,extended ascii and mojibake,mojibake is garbled text from incompatible character encoding,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 13 - representing numbers and letters with binary/Transcript.md,please change this to hard
2026-03-08T18:57:04,ineffective_question,5e67b8d97f7cac8beb4deb34341e11e183bb51d2,884,7,What does PoE resistive discovery prevent?,It prevents unauthorized devices from connecting to the switch by rejecting unknown MAC addresses,It prevents switch overheating by limiting the number of simultaneous PoE connections,It prevents accidental power delivery to non-PoE devices by checking for a ~25 kOhm signature before applying full power,It prevents the PSE from supplying more than 100W to any single port regardless of the PoE standard in use,C,Before applying full PoE power a PSE applies a low test voltage and checks for a ~25 kOhm resistive signature on the cable. Only a valid PD has this signature. Non-PoE devices do not and are protected from receiving full power.,medium,medium,poe resistive discovery,resistive discovery checks 25 kohm signature before applying power,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Essential - Chapter 8 Introduction to Switch Configuration/Essential Chapter 8 - Switch Configuration,redundant question
