"difficulty","question","choice_a","choice_b","choice_c","choice_d","correct_choice","explanation","concept_key","aspect_key","source_path"
"easy","How many layers are in the OSI model?","4","5","7","8","C","The OSI model has seven layers.","osi model","layer count","/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List D - Alex's Final Exam Preparation/STUDY GUIDE 1.md"
"easy","Which OSI layer is the Physical layer?","Layer 1","Layer 2","Layer 3","Layer 4","A","The Physical layer is Layer 1.","osi model","physical layer number","/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List D - Alex's Final Exam Preparation/STUDY GUIDE 1.md"
"easy","Which OSI layer is the Data Link layer?","Layer 1","Layer 2","Layer 3","Layer 5","B","The Data Link layer is Layer 2.","osi model","data link layer number","/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List D - Alex's Final Exam Preparation/STUDY GUIDE 1.md"
"easy","Which OSI layer is the Network layer?","Layer 2","Layer 3","Layer 4","Layer 7","B","The Network layer is Layer 3.","osi model","network layer number","/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List D - Alex's Final Exam Preparation/STUDY GUIDE 1.md"
"easy","Which OSI layer is the Transport layer?","Layer 2","Layer 3","Layer 4","Layer 6","C","The Transport layer is Layer 4.","osi model","transport layer number","/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List D - Alex's Final Exam Preparation/STUDY GUIDE 1.md"
"easy","Which OSI layer is the Session layer?","Layer 3","Layer 4","Layer 5","Layer 6","C","The Session layer is Layer 5.","osi model","session layer number","/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List D - Alex's Final Exam Preparation/STUDY GUIDE 1.md"
"easy","Which OSI layer is the Presentation layer?","Layer 4","Layer 5","Layer 6","Layer 7","C","The Presentation layer is Layer 6.","osi model","presentation layer number","/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List D - Alex's Final Exam Preparation/STUDY GUIDE 1.md"
"easy","Which OSI layer is the Application layer?","Layer 5","Layer 6","Layer 7","Layer 1","C","The Application layer is Layer 7.","osi model","application layer number","/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List D - Alex's Final Exam Preparation/STUDY GUIDE 1.md"
"easy","What type of address is mainly used at the Data Link layer?","IP address","MAC address","Port number","Domain name","B","The Data Link layer uses MAC addresses for local delivery.","osi model","data link addressing","/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List D - Alex's Final Exam Preparation/STUDY GUIDE 1.md"
"easy","What type of address is mainly used at the Network layer?","MAC address","Port number","IP address","Frame check sequence","C","The Network layer uses IP addresses for logical addressing and routing.","osi model","network addressing","/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List D - Alex's Final Exam Preparation/STUDY GUIDE 1.md"
"easy","What type of identifier is used at the Transport layer?","Port numbers","VLAN IDs","MAC addresses","DNS records","A","The Transport layer uses port numbers.","transport layer","port numbers","/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List D - Alex's Final Exam Preparation/STUDY GUIDE 1.md"
"easy","What is the Protocol Data Unit at the Data Link layer?","Packet","Segment","Frame","Bit","C","The PDU at Layer 2 is a frame.","pdu","frame","/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List D - Alex's Final Exam Preparation/STUDY GUIDE 1.md"
"easy","What is the Protocol Data Unit at the Network layer?","Bit","Frame","Segment","Packet","D","The PDU at Layer 3 is a packet.","pdu","packet","/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List D - Alex's Final Exam Preparation/STUDY GUIDE 1.md"
"easy","What is the Protocol Data Unit at the Transport layer in TCP?","Frame","Packet","Segment","Bits","C","The Transport layer uses segments for TCP.","pdu","segment","/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List D - Alex's Final Exam Preparation/STUDY GUIDE 1.md"
