difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
easy,What is a LAN?,A network spanning multiple cities,A network within a building or nearby area,A network connecting only to the internet,A wireless-only network,B,A LAN is defined by locality — it covers a building or nearby area regardless of host count.,lan concept,local area network within a building or nearby area,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
easy,What is the role of a server in a network?,Consumes shared resources provided by other devices,Stores only local data with no sharing,Provides shared files/services/resources to other devices,Manages wireless signal strength,C,A server's primary role is to provide shared files and services to network clients.,server role,provides shared files/services/resources to other devices,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 1 Network Basics/Book 1 Chapter 1 - Network Basics.md
easy,Which device is the core switching component in a wired LAN?,Router,Firewall,WAP,Switch,D,A switch connects multiple wired devices in a LAN and forwards frames using MAC addresses.,core network components,nic; twisted-pair cable; switch; wap; router; and firewall,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
easy,What does RFI stand for?,Remote File Interface,Radio-Frequency Interference,Routing Framework Interface,Repeater Fiber Interface,B,RFI is radio-frequency interference — electromagnetic noise that degrades network signal quality.,rfi,radio-frequency noise impacting transmissions,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
easy,In a peer-to-peer network what roles can each device take?,Only a client,Only a server,Both client and server simultaneously,Neither client nor server,C,In a P2P model each endpoint can act as both a client and a server without a dedicated machine.,peer-to-peer model,endpoints can act as both client and server in smaller networks,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 1 Network Basics/Book 1 Chapter 1 - Network Basics.md
easy,Which network classification spans the largest geographic area?,LAN,MAN,WAN,PAN,C,A WAN (Wide Area Network) spans large geographic distances connecting multiple LANs.,network-size taxonomy,lan (local); man (metro/city); wan (large geographic span),/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
medium,Which topology uses a single shared backbone cable that all devices connect to?,Star,Ring,Bus,Mesh,C,Bus topology uses one shared backbone cable — all devices share the same medium.,bus topology,one shared backbone cable; all devices share the same medium,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
medium,What type of interference comes from electromagnetic sources such as motors and power lines?,RFI,EMI,FCS,CRC,B,EMI (Electromagnetic Interference) is noise from electromagnetic sources that degrades signal quality.,emi,electromagnetic noise affecting signal quality,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
medium,Which small-office device typically combines a router firewall WAP and switch in one unit?,NIC,Modem,Wireless router,Hub,C,A wireless router is a common composite device combining router firewall WAP and switch functionality.,wireless router composition,router; firewall; wap; and switch ports,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
medium,Which topology gives every node a direct connection to every other node?,Star,Hub-and-spoke,Partial mesh,Full mesh,D,Full mesh topology provides a direct interconnection between every pair of nodes in the network.,full mesh,every node can interconnect; can use internet-based links,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
medium,What is the security baseline requirement for all endpoint devices?,Assign static IPs to every device,Never expose endpoints directly to the internet without firewall protection,Use only hub-and-spoke topology,Disable wireless access points,B,Devices must always sit behind a firewall — direct exposure to the internet is a critical security risk.,security baseline,never expose endpoints directly to the internet without firewall protection,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 1 Network Basics/Book 1 Chapter 1 - Network Basics.md
medium,What does a network administrator manage?,Only physical cabling and hardware,Capacity; backups; access; maintenance; and incident response/escalation,Only wireless devices and access points,Firewall policy configuration only,B,A network admin handles the full operational scope: capacity backups access control maintenance and incident escalation.,network administrator role,manages capacity; backups; access; maintenance; and incident response/escalation,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
hard,What is the key structural difference between hub-and-spoke and full mesh topology?,Hub-and-spoke uses wireless links; full mesh uses only wired,Hub-and-spoke centralizes traffic through one node; full mesh provides direct paths between all nodes,Hub-and-spoke is used exclusively for WANs,Full mesh always requires dedicated circuits; hub-and-spoke uses the internet,B,Hub-and-spoke is a centralized partial mesh — all traffic passes through a central point. Full mesh connects every node directly.,hub-and-spoke,centralized style of partial mesh,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
hard,What distinguishes a WAN link from a LAN connection?,WAN uses switches; LAN uses routers,WAN connects multiple LANs across large geographic distances using carrier circuits,WAN always requires fiber optic cabling,WAN devices cannot use IP addresses,B,A WAN link connects LANs — anything beyond the local network boundary is treated as WAN.,wan link,connects lans; anything outside the local network is treated as wan,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
hard,In dedicated WAN connectivity what provides the physical links between sites?,Internet VPN tunnels,Satellite links only,Provider/carrier circuits,Consumer broadband modems,C,Dedicated WAN connectivity uses provider or carrier circuits to create committed short-distance links between sites.,dedicated wan connectivity,provider/carrier circuits are used for short-distance dedicated links,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 1 Network Basics/Book 1 Chapter 1 - Network Basics.md
hard,Why does the dedicated-server model outperform peer-to-peer in large enterprise networks?,Servers use faster CPUs than endpoints,The server is optimized for network services as its primary task providing reliability and scale,Servers do not require IP addresses,Peer-to-peer networks have a hard limit of 5 devices,B,A dedicated server focuses exclusively on service delivery making it far more reliable and scalable than P2P.,dedicated-server model,server is optimized for network services as its primary task,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 1 Network Basics/Book 1 Chapter 1 - Network Basics.md
hard,What is the primary purpose of a client-to-site VPN?,Connecting two office buildings together,Giving a remote client access into internal network resources,Replacing the need for a perimeter firewall,Routing traffic between VLANs on a switch,B,A client-to-site VPN provides a secure tunnel for remote users to access internal resources over the internet.,client-to-site vpn,remote client access into internal network resources,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
hard,What causes fiber degradation in optical networking?,EMI from nearby power lines,Optical medium quality declining with distance or physical damage to the cable,RFI from wireless access points,Electrical crosstalk between parallel conductors,B,Fiber degradation occurs when the optical medium quality declines due to distance bends or physical damage.,fiber degradation,optical medium quality can decline with distance/conditions,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
easy,In which topology do all devices connect to a single central device such as a switch?,Bus,Star,Ring,Mesh,B,Star topology has all devices connect to one central node — typically a switch — rather than to each other directly.,star topology,endpoints connect to a central device,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
easy,In which topology do devices connect in a closed loop with data passing from device to device around the ring?,Star,Bus,Mesh,Ring,D,Ring topology forms a closed loop — each device connects to exactly two neighbors and data travels around the ring.,ring topology,devices form a closed loop,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
easy,What term describes any addressable device that participates in a network?,Switch port,IP packet,Network node,Broadcast domain,C,A network node is any addressable or participating device in the network — from a PC to a printer to a router.,network node,any addressable/participating device in the network,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
easy,What is the primary role of a client device in a network?,Provide shared files and services to other devices,Route packets between different network segments,Consume shared resources provided by servers,Manage firewall and access control policies,C,A client consumes resources such as files; applications; and printers that servers provide on the network.,client role,consumes shared resources provided by servers,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 1 Network Basics/Book 1 Chapter 1 - Network Basics.md
easy,What does it mean for a network device to be described as online?,The device is powered off and disconnected from the network,The device is reachable and active on the network,The device has a public IP address only,The device is in a scheduled maintenance window,B,Online means the device is reachable and operational on the network; offline means it is unavailable.,online/offline state,online means reachable on network; offline means unavailable due to power; link; or config state,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
easy,What defines a local resource in networking?,A file hosted on a cloud storage service,A resource accessible only via VPN tunnel,A resource stored and accessed directly on your own device,Any shared resource reachable from the LAN,C,A local resource resides on your own device; a remote resource lives on another networked system.,local vs remote resource,local is on your device; remote resides on another networked system,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 1/Week 1 Notes.md
easy,What is the minimum requirement to form a network?,At least one switch and two routers,A server providing services to at least five clients,Two or more devices connected to exchange information,A firewall and a dedicated WAN link,C,A network is simply two or more devices connected (wired or wireless) to exchange information.,network core definition,two or more devices connected (wired or wireless) to exchange information,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 1 Network Basics/Book 1 Chapter 1 - Network Basics.md
