difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
easy,What is Telnet used for?,Encrypting all network traffic between devices,Remote CLI administration via terminal emulation,Automatically assigning IP addresses to devices,Resolving domain names to IP addresses,B,Telnet is a terminal-emulation protocol allowing remote command-line access to network devices.,telnet definition,terminal-emulation protocol for remote cli administration,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 10 - Telnet and SSH/Transcript.md
easy,What is the main security limitation of Telnet?,It only functions on Windows operating systems,All data including credentials is transmitted in cleartext with no encryption,It cannot connect to Cisco switches or routers,It does not support standard CLI commands,B,Telnet sends all traffic in plaintext — anyone who can capture the traffic can read usernames passwords and commands.,telnet security limitation,cleartext transmission with no encryption,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 10 - Telnet and SSH/Transcript.md
easy,How many octets make up an IPv4 address?,2,4,6,8,B,IPv4 is a 32-bit address divided into four 8-bit octets separated by dots (e.g. 192.168.1.1).,ipv4 structure,32-bit address space in four octets,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/IP Addressing Fundamentals.md
easy,Which protocol replaced Telnet to provide secure encrypted remote access?,FTP,SNMP,SSH,HTTP,C,SSH (Secure Shell) replaced Telnet by encrypting the entire session and supporting stronger authentication.,ssh replacement,encrypted remote shell with stronger authentication support,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 10 - Telnet and SSH/Transcript.md
easy,Which RFC1918 range is most commonly used in home and small office networks?,10.0.0.0/8,172.16.0.0/12,192.168.0.0/16,169.254.0.0/16,C,192.168.0.0/16 is the Class C RFC1918 private range and is the default on most consumer routers.,rfc1918 private ranges,10/8; 172.16/12; and 192.168/16,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/Public vs Private IP Addresses.md
easy,What does IANA stand for?,Internet Architecture and Networking Association,Internet Assigned Numbers Authority,Internal Address Network Administrator,Integrated Access Naming Authority,B,IANA (Internet Assigned Numbers Authority) coordinates global IP address space and protocol number registries.,iana role,global authority coordinating ip resource distribution,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/IANA
medium,In the IP address allocation chain what comes immediately after IANA?,ISP,RIR (Regional Internet Registry),Individual endpoint devices,Autonomous System,B,IANA allocates large IP blocks to RIRs (e.g. ARIN; RIPE; APNIC) which then distribute to ISPs and organizations.,allocation chain,iana to rir to isp/organization to endpoints,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/IANA
medium,What is the dotted-decimal subnet mask equivalent of /26?,255.255.255.0,255.255.255.128,255.255.255.192,255.255.255.224,C,/26 means 26 bits set to 1. The last octet = 11000000 = 192 giving mask 255.255.255.192.,prefix-to-mask conversion,/n indicates count of network bits set in subnet mask,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/CIDR and Subnet Masks.md
medium,During a Cisco switch factory reset what two items must be deleted to fully restore factory defaults?,IOS image and running config,Running config and ARP table,Startup config and VLAN database,Flash directory and boot variables,C,A full factory reset removes the startup-config and vlan.dat files — the IOS image must never be deleted.,critical reset files,remove startup config and vlan database; do not remove ios image files,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 11 - Factory Reset Cisco Switch/Transcript.md
medium,Why do organizations assign private IP addresses internally rather than public IPs to every device?,Private IPs transmit faster than public IPs on LAN segments,Private addressing conserves scarce IPv4 public space by using non-routable addresses behind NAT,Private IPs cannot be intercepted making them inherently more secure,ISPs require customers to use private addressing internally,B,RFC1918 private ranges extend IPv4 by reusing address space internally — NAT provides internet access from one public IP.,private vs public ip rationale,conserve ipv4 by using private addressing with nat,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/Public vs Private IP Addresses.md
medium,What is BGP's primary role in internet routing?,Assigning IP addresses within an enterprise network,Inter-domain routing providing path selection and redundancy between autonomous systems,Encrypting VPN tunnels between service providers,Resolving DNS queries for top-level domains,B,BGP (Border Gateway Protocol) routes traffic between autonomous systems enabling the internet's inter-provider connectivity.,bgp function,inter-domain routing and multi-path redundancy between providers,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/Hexadecimal and BGP Basics.md
medium,What role does hexadecimal notation play in networking?,It replaces binary in all routing table calculations,It provides a compact notation for binary values used in MAC addresses and IP analysis,It encrypts packet payloads before transmission,It is used exclusively for VLAN assignment on managed switches,B,Hex is a base-16 shorthand for binary — each hex digit represents exactly 4 bits. While not human-readable like decimal; hex compactly encodes binary data used in MAC addresses and IP analysis.,hexadecimal utility,compact representation used in ip/mac analysis,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 6/Hexadecimal and BGP Basics.md
