difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
easy,What is a hub?,A Layer 2 device that forwards frames based on destination MAC addresses,A Layer 3 device that routes traffic between different IP subnets,A Layer 1 device that repeats incoming electrical signals out all other ports,A device that manages VLAN assignments across multiple switches,C,A hub is a Layer 1 device. It simply repeats an incoming electrical signal out every other port without inspecting frame contents or caring about the intended destination.,hub definition,hub repeats signals out all ports without inspecting frame contents,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is the primary job of a switch?,To repeat electrical signals out all ports to maximize coverage,To translate IP addresses into MAC addresses for local delivery,To encrypt traffic between VLANs for security,To inspect Ethernet headers and forward frames based on destination MAC addresses,D,A switch is a Layer 2 device. It reads the destination MAC address in an Ethernet frame and forwards the frame only to the port associated with that MAC address.,switch definition,switch inspects ethernet headers and forwards based on mac address,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,How long is a MAC address?,16 bits,32 bits,128 bits,48 bits,D,A MAC address is 48 bits long; typically written as six octets separated by hyphens (e.g. 21-76-3D-7A-F6-1E). Each octet is 8 bits so six octets = 48 bits total.,mac address,mac address is 48 bits written as six hyphen-separated octets,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,How does a switch learn which port a device is connected to?,It queries a central DHCP server that maps MAC addresses to switch ports,It reads the source MAC address on incoming frames and associates it with the port the frame arrived on,It broadcasts a discovery packet and waits for devices to reply with their port numbers,It uses ARP to resolve IP addresses to MAC addresses and stores the result in its routing table,B,The learning process: when a frame arrives the switch reads the source MAC address and records it along with the ingress port in the MAC address table. Future frames destined for that MAC are forwarded directly to the learned port.,switch learning,switch learns source mac and ingress port from each incoming frame,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What does a switch do when the destination MAC address is not in its MAC address table?,It drops the frame and sends an ICMP unreachable message to the sender,It forwards the frame to the default gateway for resolution,It sends the frame only to the port configured as the uplink,It floods the frame out all ports except the port the frame arrived on,D,Flooding is the fallback behavior when the switch has no learned entry for the destination MAC. The switch sends the frame to all ports except the ingress port so the unknown destination has a chance to receive and respond.,flooding definition,unknown destination mac causes switch to flood out all ports except ingress,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is a VLAN?,A physical cable standard for separating department networks at the wiring closet,A Layer 3 routing protocol for connecting remote offices over the internet,A logical Layer 2 network built on shared physical switch infrastructure that separates traffic without physical rewiring,A wireless segmentation method for isolating Wi-Fi traffic from wired traffic,C,A VLAN (Virtual Local Area Network) is a logical grouping of switch ports that creates a separate Layer 2 broadcast domain. Devices in different VLANs are isolated at Layer 2 even though they share the same physical switch.,vlan definition,vlan is a logical layer 2 network on shared physical switch infrastructure,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 16 - VLANs Made Easy/Transcript.md
easy,What is an access port?,A port that carries traffic for multiple VLANs using 802.1Q tagging,A port that connects a switch to a router for inter-VLAN routing,A high-speed uplink port used for inter-switch connections,A port that carries traffic for only one VLAN and sends frames without a VLAN tag,D,An access port connects an endpoint device and carries traffic for exactly one VLAN. Frames leaving an access port are untagged — the endpoint device receives a normal Ethernet frame with no VLAN identifier.,access port definition,access port carries one vlan and delivers untagged frames to endpoints,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is a collision domain?,The set of devices that receive a Layer 2 broadcast frame,The IP subnet range shared by devices on the same network segment,The group of switch ports that share the same VLAN assignment,The segment of a network where simultaneous transmissions collide and corrupt each other,D,A collision domain is any network segment where two devices transmitting at the same time produce a collision. Hubs keep all ports in one large collision domain. Switches break each port link into its own collision domain.,collision domain,collision domain is where simultaneous transmissions cause collisions,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is a broadcast domain?,The area of the network where 802.1Q trunk links carry multiple VLANs simultaneously,The set of switch ports that share the same collision detection mechanism,The segment of a network where a Layer 2 broadcast frame is received by all devices,The range of IP addresses assigned by a DHCP server to hosts on a subnet,C,A broadcast domain is the set of devices that all receive a broadcast frame (destination MAC FF-FF-FF-FF-FF-FF). Switches forward broadcasts to all ports in the same VLAN; routers and VLANs segment broadcast domains.,broadcast domain definition,broadcast domain is where all devices receive a layer 2 broadcast frame,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What does VTP stand for and what is its purpose?,Virtual Trunk Protocol — the actual tagging standard for VLAN frames on trunk links,VLAN Transfer Protocol — a Cisco protocol for migrating VLAN configs between switches of different vendors,VLAN Trunking Protocol — a Cisco protocol that replicates VLAN information between Cisco switches over trunk links,Virtual Tagging Protocol — the IEEE standard for attaching VLAN IDs to Ethernet frames,C,VTP (VLAN Trunking Protocol) is Cisco proprietary. It is not the mechanism that tags frames; 802.1Q does that. VTP replicates VLAN database information (VLAN IDs and names) between Cisco switches so they do not all need to be configured manually.,vtp,vtp replicates vlan information between cisco switches over trunk links,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is trunking in a switched network?,A method of encrypting traffic between two switches to prevent eavesdropping,Allowing traffic for multiple VLANs to travel across one physical link using VLAN tagging,A redundancy protocol that prevents loops on inter-switch links,The process of aggregating multiple physical links into one logical link for increased bandwidth,B,Trunking lets one physical link carry traffic for multiple VLANs simultaneously. Each frame is tagged (802.1Q) so the receiving device knows which VLAN it belongs to. Without trunking VLANs could not extend across multiple switches.,trunking definition,trunking carries multiple vlans over one physical link using vlan tags,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 17 - Trunking and 802.1Q/Transcript.md
