difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
easy,Which OSI layer is responsible for user-facing network services such as HTTP and DNS?,Application,Transport,Network,Data Link,A,The Application layer is the OSI layer associated with user-facing network services like HTTP and DNS.,osi application layer,user-facing network services,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.1.1 - Understanding the OSI Model.md
easy,Which OSI layer is commonly associated with SSL/TLS and character encoding tasks?,Presentation,Session,Physical,Network,A,The Presentation layer handles functions such as data formatting and character encoding plus encryption technologies like SSL/TLS.,osi presentation layer,ssl tls and encoding,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.1.1 - Understanding the OSI Model.md
easy,Which OSI layer manages communication sessions for the transport layer?,Session,Application,Data Link,Physical,A,The Session layer is responsible for managing communication sessions that support transport-layer conversations.,osi session layer,communication session management,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.1.1 - Understanding the OSI Model.md
easy,Which two protocols are the primary Transport layer protocols in the OSI model?,TCP and UDP,IP and ICMP,ARP and DNS,HTTP and HTTPS,A,TCP and UDP are the primary Transport layer protocols in the OSI model.,transport layer protocols,tcp and udp,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.1.1 - Understanding the OSI Model.md
easy,Which OSI layer uses IP addresses to forward traffic between local networks or subnets?,Network,Physical,Session,Presentation,A,The Network layer is the layer that uses IP addressing to move traffic between subnets.,osi network layer,ip forwarding between subnets,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.1.1 - Understanding the OSI Model.md
easy,Which OSI layer uses MAC addresses to target devices by their network interface cards?,Data Link,Session,Presentation,Transport,A,The Data Link layer uses MAC addresses for local delivery to network interface cards.,data link layer,mac-based local targeting,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.1.1 - Understanding the OSI Model.md
easy,What kind of hardware address identifier is an EUI-48 address?,A 48-bit extended unique identifier used for hardware addressing,A 48-port switch backplane standard,A 48-byte TCP option field,A 48-channel fiber multiplexing method,A,EUI-48 is a 48-bit Extended Unique Identifier used with MAC addressing.,eui 48,hardware address identifier,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.1.1 - Understanding the OSI Model.md
easy,Which OSI layer is concerned with signals cabling and connectors?,Physical,Application,Session,Network,A,The Physical layer covers the electrical optical or physical transmission medium including cabling and connectors.,physical layer,cabling and connectors,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.1.1 - Understanding the OSI Model.md
easy,Which network device performs switching or bridging in hardware?,A switch,A firewall,A proxy,A load balancer,A,Switching or bridging in hardware is performed by a switch.,switch function,hardware bridging,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
medium,In networking hardware what does ASIC stand for?,Application Specific Integrated Circuit,Advanced Switching Interface Controller,Automated Signal Integration Card,Adaptive System Interconnect Chip,A,ASIC stands for Application Specific Integrated Circuit.,asic meaning,application specific integrated circuit,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,What primary function does a firewall perform?,Filtering traffic by port number or application,Assigning IP addresses automatically,Converting light to electrical signals,Balancing database queries only,A,A firewall filters traffic by port number or application.,firewall purpose,traffic filtering by port or application,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,In network security what does NGFW stand for?,Next Generation Firewall,Network Gateway Forwarder,New Group Filter Wrapper,Native Gigabit Firewall,A,NGFW stands for Next Generation Firewall.,ngfw meaning,next generation firewall,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,What site-to-site technology is created when a firewall encrypts traffic between two locations?,A VPN,A VLAN trunk,A proxy chain,A mirrored port,A,Encrypting traffic between two locations creates a VPN between those sites.,firewall vpn,site to site encryption,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
easy,At what network boundary do firewalls commonly sit?,At the ingress and egress of the network,Only inside endpoint operating systems,Only between two switches in a rack,Only on wireless access points,A,Firewalls commonly sit at network ingress and egress points.,firewall placement,network ingress egress,courses/Network+/notes-content/Notes List C - Alex's Personal Notes/Day 1/1.2.1 - Networking Devices.md
